iterations,timesteps,gradient updates,reward 0,mean,stdev
670.0,1372160.0,2680.0,-557.447790399912,-557.447790399912,0.0
680.0,1392640.0,2720.0,-568.3400060362322,-568.3400060362322,0.0
690.0,1413120.0,2760.0,-557.409001860702,-557.409001860702,0.0
700.0,1433600.0,2800.0,-557.5459017294501,-557.5459017294501,0.0
710.0,1454080.0,2840.0,-553.84778064187,-553.84778064187,0.0
720.0,1474560.0,2880.0,-565.152706842064,-565.152706842064,0.0
730.0,1495040.0,2920.0,-560.6841093921137,-560.6841093921137,0.0
740.0,1515520.0,2960.0,-559.8395461834002,-559.8395461834002,0.0
750.0,1536000.0,3000.0,-552.9901122495701,-552.9901122495701,0.0
760.0,1556480.0,3040.0,-551.9913794287288,-551.9913794287288,0.0
770.0,1576960.0,3080.0,-557.4384114280554,-557.4384114280554,0.0
780.0,1597440.0,3120.0,-557.3348848854603,-557.3348848854603,0.0
790.0,1617920.0,3160.0,-556.1734080491484,-556.1734080491484,0.0
800.0,1638400.0,3200.0,-558.4592574559931,-558.4592574559931,0.0
810.0,1658880.0,3240.0,-552.974395406992,-552.974395406992,0.0
820.0,1679360.0,3280.0,-548.4903016683269,-548.4903016683269,0.0
830.0,1699840.0,3320.0,-552.133791407905,-552.133791407905,0.0
840.0,1720320.0,3360.0,-547.6282282663472,-547.6282282663472,0.0
850.0,1740800.0,3400.0,-551.6128127087461,-551.6128127087461,0.0
860.0,1761280.0,3440.0,-555.6542036766326,-555.6542036766326,0.0
870.0,1781760.0,3480.0,-552.8099858397802,-552.8099858397802,0.0
880.0,1802240.0,3520.0,-559.4894672715213,-559.4894672715213,0.0
890.0,1822720.0,3560.0,-562.4103734516968,-562.4103734516968,0.0
900.0,1843200.0,3600.0,-563.5568199036827,-563.5568199036827,0.0
910.0,1863680.0,3640.0,-561.4723585670406,-561.4723585670406,0.0
920.0,1884160.0,3680.0,-570.7948259692896,-570.7948259692896,0.0
930.0,1904640.0,3720.0,-565.7921991210704,-565.7921991210704,0.0
940.0,1925120.0,3760.0,-567.1860485647334,-567.1860485647334,0.0
950.0,1945600.0,3800.0,-571.4705029948907,-571.4705029948907,0.0
960.0,1966080.0,3840.0,-570.575426737905,-570.575426737905,0.0
970.0,1986560.0,3880.0,-552.4953092272599,-552.4953092272599,0.0
980.0,2007040.0,3920.0,-562.4618478801257,-562.4618478801257,0.0
990.0,2027520.0,3960.0,-569.8543769043523,-569.8543769043523,0.0
1000.0,2048000.0,4000.0,-570.9078105992976,-570.9078105992976,0.0
