iterations,timesteps,gradient updates,reward 0,mean,stdev
1190.0,1190000.0,1190000.0,-347.72429052472427,-347.72429052472427,0.0
1200.0,1200000.0,1200000.0,-390.6303422723448,-390.6303422723448,0.0
1210.0,1210000.0,1210000.0,-330.63469119854346,-330.63469119854346,0.0
1220.0,1220000.0,1220000.0,-395.37805602006216,-395.37805602006216,0.0
1230.0,1230000.0,1230000.0,-361.5243315338472,-361.5243315338472,0.0
1240.0,1240000.0,1240000.0,-423.5481179980412,-423.5481179980412,0.0
1250.0,1250000.0,1250000.0,-372.5549594270951,-372.5549594270951,0.0
1260.0,1260000.0,1260000.0,-377.1833163889693,-377.1833163889693,0.0
1270.0,1270000.0,1270000.0,-509.8389455690084,-509.8389455690084,0.0
1280.0,1280000.0,1280000.0,-484.2107243970413,-484.2107243970413,0.0
1290.0,1290000.0,1290000.0,-350.96853920693366,-350.96853920693366,0.0
1300.0,1300000.0,1300000.0,-381.4411365790911,-381.4411365790911,0.0
1310.0,1310000.0,1310000.0,-419.62246347673346,-419.62246347673346,0.0
1320.0,1320000.0,1320000.0,-494.1891644797244,-494.1891644797244,0.0
1330.0,1330000.0,1330000.0,-554.0607742139813,-554.0607742139813,0.0
1340.0,1340000.0,1340000.0,-368.99737022351013,-368.99737022351013,0.0
1350.0,1350000.0,1350000.0,-526.4980133792867,-526.4980133792867,0.0
1360.0,1360000.0,1360000.0,-545.8054964077091,-545.8054964077091,0.0
1370.0,1370000.0,1370000.0,-229.82201451108693,-229.82201451108693,0.0
1380.0,1380000.0,1380000.0,-405.4154571886652,-405.4154571886652,0.0
1390.0,1390000.0,1390000.0,-423.53856552802256,-423.53856552802256,0.0
1400.0,1400000.0,1400000.0,-537.8440190134612,-537.8440190134612,0.0
1410.0,1410000.0,1410000.0,-405.2075546948884,-405.2075546948884,0.0
1420.0,1420000.0,1420000.0,-566.3294105168819,-566.3294105168819,0.0
1430.0,1430000.0,1430000.0,-512.3812940703504,-512.3812940703504,0.0
1440.0,1440000.0,1440000.0,-471.09098333078845,-471.09098333078845,0.0
1450.0,1450000.0,1450000.0,-420.1945531055577,-420.1945531055577,0.0
1460.0,1460000.0,1460000.0,-489.6339640112361,-489.6339640112361,0.0
1470.0,1470000.0,1470000.0,-357.79637465057095,-357.79637465057095,0.0
1480.0,1480000.0,1480000.0,-498.36925216983946,-498.36925216983946,0.0
1490.0,1490000.0,1490000.0,-311.33689550653276,-311.33689550653276,0.0
1500.0,1500000.0,1500000.0,-574.8148049342185,-574.8148049342185,0.0
